"";"AB"
"HAMMERSCHMIDT J, 2020, INT ENTREP MANAG J";"IN RECENT YEARS, SPORTS ENTREPRENEURSHIP HAS EMERGED AS A PROMISING DISCIPLINE IN THE FIELD OF SPORTS MANAGEMENT RESEARCH. HOWEVER, THE RESEARCH FIELD IS STILL FRAGMENTED. THIS STUDY GIVES AN OVERVIEW OF SPORTS ENTREPRENEURSHIP AND COOPETITION RESEARCH AND IS THE FIRST WORK ANALYZING EO AND PERFORMANCE IN PROFESSIONAL SPORTS. FIRST, QUANTITATIVE RESULTS ABOUT EO, ORGANIZATIONAL PERFORMANCE AND COOPETITION OF 22 PROFESSIONAL SOCCER CLUBS WERE OBTAINED. FOLLOWING THE MIXED METHOD APPROACH, THE DATA WAS THEN EXTENDED BY QUALITATIVE EXPERT INTERVIEWS. ENTREPRENEURIAL ORIENTATION HAD A SIGNIFICANT POSITIVE RELATIONSHIP WITH BOTH FINANCIAL AND SPORTING PERFORMANCE OF PROFESSIONAL SOCCER CLUBS IN GERMAN-SPEAKING COUNTRIES DURING THE 2017/18 SEASON. WE SUGGEST COOPETITION AS A PROMISING STRATEGY FOR PROFESSIONAL SOCCER CLUBS TO SUCCEED. HENCE, OUR STUDY FOSTERS THE CONCEPT OF SPORTS ENTREPRENEURSHIP AND OFFERS EVIDENCE THAT ENTREPRENEURIAL ORIENTATION IS A WELL-SUITED MANAGERIAL APPROACH TO ENHANCE ORGANIZATIONAL PERFORMANCE IN PROFESSIONAL SOCCER."
"COATES D, 2020, INT J SPORT FINANC";"THIS STUDY CONSIDERS THE FOOTBALL TRANSFER MARKET AS A NETWORK AND ANALYZES HOW CHARACTERISTICS OF A FOOTBALL CLUB'S PLAYER TRANSFER NETWORK ACTIVITIES INFLUENCE CLUB PERFORMANCE. WE USE DATA ON 23,220 UNIQUE FOOTBALL CLUBS FROM 189 COUNTRIES FROM 1996 THROUGH 2016. OUR RESULTS SHOW THAT FOR SPORT PERFORMANCE THE BEST STRATEGY IS TO HAVE WELL-ESTABLISHED RELATIONS WITH A LIMITED NUMBER OF PARTNER CLUBS, ESPECIALLY IN THE DOMESTIC LEAGUE. HOWEVER, TRANSFER POLICY FOCUSED ON INTERNATIONAL DEALS IMPROVES FINANCIAL PERFORMANCE OF FOOTBALL CLUBS. THESE FINDINGS PROVIDE CLUB MANAGEMENT WITH INSIGHTS ON OPTIMAL TRANSFER POLICY WITH REGARD TO THE BALANCE BETWEEN SPORT AND FINANCIAL PERFORMANCE."
"HOLZMAYER F, 2020, SPORT BUS MANAG";"PURPOSE PROFESSIONAL FOOTBALL CLUBS HAVE INCREASINGLY INITIATED TWO CORPORATE DIVERSIFICATION STRATEGIES TO ENFOLD GROWTH OPPORTUNITIES BESIDES TRADITIONAL INCOME SOURCES: BUSINESS DIVERSIFICATION AND INTERNATIONAL DIVERSIFICATION. EMPIRICAL FINDINGS FROM MANAGEMENT AND SPORT MANAGEMENT LITERATURE PROVIDE INCONCLUSIVE EVIDENCE ON THESE STRATEGIES' FINANCIAL PERFORMANCE EFFECTS, NECESSITATING FURTHER RESEARCH. THE PURPOSE OF THIS ARTICLE IS THEREFORE TO INVESTIGATE HOW BOTH CORPORATE DIVERSIFICATION STRATEGIES AFFECT THE FINANCIAL PERFORMANCE OF PROFESSIONAL FOOTBALL CLUBS. DESIGN/METHODOLOGY/APPROACH A 15-YEAR PANEL DATA SET OF ENGLISH PREMIER LEAGUE (EPL) CLUBS IS EXAMINED, MANY OF WHICH HAVE EMPLOYED CORPORATE DIVERSIFICATION STRATEGIES. MEASURES FOR RELATED BUSINESS DIVERSIFICATION (RBD) AND UNRELATED BUSINESS DIVERSIFICATION (UBD) AS WELL AS INTERNATIONAL DIVERSIFICATION ARE ESTABLISHED FROM MANAGEMENT LITERATURE. BASED ON FIXED EFFECTS REGRESSION MODELS, THEIR EFFECTS ON CLUBS' REVENUES AND PROFITABILITY ARE THEN EXAMINED. FINDINGS U-SHAPED EFFECTS FROM RBD ON REVENUES AND PROFITABILITY ARE FOUND, BUT NO EFFECTS FROM UBD. THESE FINDINGS EMPIRICALLY SUPPORT THE THEORETICALLY APPEALING SUPERIORITY OF RBD OVER UBD AND, WITH INCREASING LEVELS OF RBD, OVER A FOCUSED STRATEGY IN MANAGEMENT LITERATURE. WITH INTERNATIONAL DIVERSIFICATION, AN INVERTED U-SHAPED EFFECT ON REVENUES IS IDENTIFIED. RESEARCH LIMITATIONS/IMPLICATIONS DESPITE FOCUSING ONLY ON THE EPL, THESE FINDINGS PROVIDE NEW EVIDENCE OF NON-LINEAR FINANCIAL PERFORMANCE EFFECTS FROM CORPORATE DIVERSIFICATION STRATEGIES ADDING TO (SPORT) MANAGEMENT LITERATURE AND SETTING THE STAGE FOR FUTURE RESEARCH ON THESE STRATEGIES IN PROFESSIONAL FOOTBALL. PRACTICAL IMPLICATIONS THESE FINDINGS HAVE SIGNIFICANT IMPLICATIONS FOR CLUB MANAGERS' STRATEGIC GROWTH OPPORTUNITIES SUCH AS NEW BUSINESS MODELS OR GEOGRAPHIC MARKETS. ORIGINALITY/VALUE THIS IS THE FIRST STUDY TO EMPIRICALLY EXAMINE THE FINANCIAL EFFECTS OF CORPORATE DIVERSIFICATION STRATEGIES IN THE FOOTBALL MARKET CONTEXT."
"LOMBARDI R, 2020, CORP SOC RESPONSIB ENVIRON MANAG";"CORPORATE SOCIAL RESPONSIBILITY (CSR) HAS BEEN INCREASINGLY INVESTIGATED ASSUMING SEVERAL PERSPECTIVES. IN THIS SCENARIO, HUMAN RESOURCES AND PARTICULARLY EMPLOYEES ARE THE MOST RELEVANT GROUPS OF STAKEHOLDERS PLAYING A KEY ROLE IN ALL KIND OF ORGANIZATIONS. THUS, THIS PAPER AIMS AT INVESTIGATING THE PROFITABLE CONNECTION BETWEEN CSR AND HUMAN RESOURCE MANAGEMENT (HRM). WE INVESTIGATE WHICH FACTORS DETERMINE RESPONSIBLE AND SUSTAINABLE PRACTICES IN THE MANAGEMENT OF THE EMPLOYEES' TYPOLOGY CONTRACTS GUARANTEEING CSR AND ITS PRINCIPLES. THE EMPLOYEES' CONTRACT TYPOLOGY IS RECOGNIZED AS A SUSTAINABLE KEY FACTOR IN INFLUENCING CORPORATE PERFORMANCE. THROUGH AN EMPIRICAL ANALYSIS IN THE FOOTBALL INDUSTRY, WE INVESTIGATE IF THE WORK CONTRACTS' AVERAGE DURATION BY FOOTBALL PLAYERS AFFECTS THE PERFORMANCE OF THEIR CLUBS. OUR RESULTS DEMONSTRATE THAT ORGANIZATIONS ASSUMING STABILIZATION AND LONG TIMING IN THE EMPLOYEES' CONTRACT ARE GOING TO ACHIEVE SUSTAINABLE PERFORMANCE ASSURING SOCIALLY RESPONSIBLE PRACTICES AND CSR. THE AWARENESS OF THE EXISTENCE OF A CORRELATION BETWEEN THE DURATION OF THE CONTRACT AND THE COMPANY PERFORMANCE COULD BE EXPLOITED BY MANAGERS OF ALL ORGANIZATIONS IN IDENTIFYING THE OPTIMAL STRATEGY AND THE EFFECTIVENESS IN THE IMPLEMENTATION OF CSR. THUS, A NEW SUSTAINABLE KEY FACTOR IN ASSURING CSR AND HRM IS PROPOSED: THE EMPLOYEES' CONTRACTUAL HORIZON/TIMING."
"FEDDERSEN A, 2020, APPL ECON";"SENTIMENT BIAS, DEFINED AS INVESTMENT DECISIONS MADE FOR REASONS UNRELATED TO FUNDAMENTALS AND RELATED TO POPULARITY, REPRESENTS A COMMON RESEARCH TOPIC IN FINANCE AND ECONOMICS. EMPIRICAL RESEARCH ON SENTIMENT BIAS FREQUENTLY USES DATA FROM SPORTS BETTING MARKETS. WHILE RESEARCH GENERALLY FINDS EVIDENCE OF SENTIMENT BIAS, IN PARTICULAR, DUE TO TEAM POPULARITY, THE PREVALENCE OF THIS BIAS AMONG FANS AND BETTORS IN MANY SPORTS REMAINS UNCLEAR AND IDENTIFICATION OF MARKETS WITH RELATIVELY LARGER NUMBERS OF BETTORS WITH SENTIMENT BIAS POSES EMPIRICAL CHALLENGES. WE ANALYSE OUTCOMES IN BETTING MARKETS FOR GAMES PLAYED IN TWO NORTH AMERICAN TEAM SPORTS LEAGUES, THE NATIONAL BASKETBALL ASSOCIATION (NBA) AND NATIONAL FOOTBALL LEAGUE (NFL) FROM THE 2012-13 TO 2016-17 SEASONS AND INVESTIGATE HOW GAME TIMING, IN TERMS OF GAMES PLAYED ON WEEKDAYS AND WEEKENDS, MAY AFFECT THE PRESENCE OF BETTORS WITH POPULARITY-BASED SENTIMENT BIAS. PROBIT MODEL ESTIMATES EXPLAINING THE PROBABILITY THAT A BET ON A TEAM WINS INDICATE PATTERNS CONSISTENT WITH THE PRESENCE OF BETTORS WITH SENTIMENT BIAS IN THE MARKETS FOR BETTING ON GAMES IN THE NFL BUT NOT IN THE NBA, AND THE PRESENCE OF MORE SUCH BETTORS FOR NFL GAMES PLAYED ON WEEKENDS."
"KAPLANOVA A, 2020, FRONT PSYCHOL";"OBJECTIVE FINANCIAL AWARDS CAN BE AN IMPORTANT FACTOR AFFECTING ATHLETES' MENTAL PREPARATION AND VARIOUS SKILLS TO MANAGE STRESS. SINCE SUCH A LINK HAS NOT YET BEEN STUDIED, THE STUDY HAS BEEN DESIGNED TO EVALUATE THE MODERATION EFFECT OF FINANCIAL AWARDS IN RELATION TO FOOTBALL PLAYERS' ANXIETY AND COPING SKILLS. METHODS THE STUDY CONSISTS OF 110 MALE FOOTBALL PLAYERS AGED 18-32 YEARS OLD (MEAN +/- SD: 23.98 +/- 3.01 YEARS) WHO WERE DIVIDED INTO TWO GROUPS: FINANCIAL AWARDED (N= 48) AND FINANCIAL UNAWARDED FOR SPORTS PERFORMANCE (N= 62). THE ANXIETY OF FOOTBALL PLAYERS WAS MEASURED BY THE SPORT ANXIETY SCALE SAS-2. COPING STRATEGIES TO MANAGE STRESS WERE ASSESSED BY THE ATHLETIC COPING SKILLS INVENTORY ACSI-28. THE EFFECT OF FINANCIAL AWARDS IN RELATION TO FOOTBALL PLAYERS' ANXIETY AND COPING SKILLS WAS EVALUATED BY THE MEDIATORS' MODEL USING THE PROCESS SOFTWARE (HAYES, 2018). RESULTS THE RESULTS SUGGEST THAT FINANCIAL AWARDS ARE IMPORTANT FACTORS THAT INFLUENCE FOOTBALL PLAYERS' ANXIETY AND COPING SKILLS. THE FINANCIAL AWARDS INCREASE THE MOTIVATION OF FOOTBALL PLAYERS TO BETTER PREPARE FOR SPORTS PERFORMANCE, WHICH HAS BEEN PROVEN, THROUGH BETTER SETTING OF PERFORMANCE GOALS AND MORE CAREFUL MENTAL PREPARATION. FINANCIALLY AWARDED FOOTBALL PLAYERS SEEM TO RESPECT THE COACH AND FOLLOW HIS INSTRUCTIONS TO A GREATER EXTENT THAN UNAWARDED FOOTBALL PLAYERS, WHICH MAY BE DUE TO THE FINANCIAL BENEFITS AND THE COMMITMENT THEY HAVE CONFIRMED BY SIGNING TO THE FOOTBALL CLUB. IN ANOTHER ASPECT, THE FINANCIAL AWARDS ARE LIKELY TO INCREASE THE COGNITIVE TRAIT OF THE ANXIETY OF FOOTBALL PLAYERS. IT SEEMS THAT FINANCIAL PLAYERS ARE MORE CONCERNED ABOUT THE FAILURE OF THE MATCH, WHICH INCREASES THEIR ANXIETY, ESPECIALLY SINCE IT IS A COGNITIVE PART AND AFFECTS THEIR SPORTS PERFORMANCE. CONCLUSION FOR THIS REASON, WE ENCOURAGE SPORTS ORGANIZATIONS TO FOCUS MORE ON THE MENTAL PREPARATION OF FOOTBALL PLAYERS. IT IS IMPORTANT TO PROVIDE FOOTBALL PLAYERS THE OPPORTUNITY TO GRADUATE FROM SHORT- OR LONG-TERM MENTAL TRAINING CONDUCTED BY A TRAINED SPORTS PSYCHOLOGIST NOT ONLY AT THE TIME OF THE ATHLETE'S FAILURE BUT ALSO AS A PREVENTIVE MEASURE AGAINST INCREASING COGNITIVE ANXIETY. WE RECOMMEND SPORTS ORGANIZATIONS TO TRAIN COACHES IN THE FIELD OF MENTAL TRAINING, PREFERABLY THROUGH ANNUAL SHORT TRAINING SESSIONS WITH A SPORTS PSYCHOLOGIST, TO INFLUENCE THE DEVELOPMENT OF DESIRABLE ATHLETES' COPING SKILLS."
"MORBEE S, 2020, SPORT PSYCHOL";"IN THIS STUDY, INVOLVING 585 YOUTH SPORT COACHES (M-AGE = 35.76), THE AUTHORS INVESTIGATED WHETHER COACHES WHO PERCEIVE THEIR ENVIRONMENT TO BE HIGHLY EVALUATIVE WOULD REPORT ACTING IN A MORE CONTROLLING OR PRESSURING WAY. IN A SUBSAMPLE (N = 211, M-AGE = 38.14), THEY EXAMINED THE EXPLANATORY ROLE OF COACHES' EXPERIENCES OF PSYCHOLOGICAL NEED FRUSTRATION IN THIS RELATION. THEY ALSO CONSIDERED WHETHER YEARS OF COACHING EXPERIENCE WOULD SERVE AS A BUFFER AGAINST THE ADVERSE EFFECTS OF AN EVALUATIVE CONTEXT. IN LINE WITH THE TENETS OF SELF-DETERMINATION THEORY, RESULTS OF STRUCTURAL EQUATION MODELING INDICATED THAT AN EVALUATIVE CONTEXT WAS RELATED TO THE USE OF A MORE CONTROLLING COACHING STYLE, WITH EXPERIENCES OF NEED FRUSTRATION ACCOUNTING FOR THIS RELATION. COACHING EXPERIENCE DID NOT PLAY ANY MODERATING ROLE, SUGGESTING THAT EVEN MORE EXPERIENCED COACHES ARE VULNERABLE TO THE HARMFUL CORRELATES OF AN EVALUATIVE SPORT CONTEXT."
"FADER N, 2020, J PARK RECREAT ADM";"THIS STUDY EXAMINES THE EXPERIENCE OF A SENSE OF COMMUNITY (SOC) FOR YOUTH REFUGEES IN A COMMUNITY SOCCER CLUB. ELEVEN MALE PARTICIPANTS ON A TEAM FOR YOUTH REFUGEES PARTICIPATED IN THE STUDY. DATA COLLECTION WAS GUIDED BY A PHOTO ELICITATION ACTIVITY FOLLOWED BY SEMI-STRUCTURED INTERVIEWS. BOTH THEMATIC ANALYSIS AND CREATIVE NONFICTION WERE EMPLOYED TO DEVELOP FINDINGS AND PRESENT A COMPOSITE VIGNETTE THAT STRIVES TO PROVIDE FINDINGS THAT ARE ACCESSIBLE, PROVOCATIVE, AND GIVE PRIVILEGE TO THE VOICE OF THE PARTICIPANTS. MOST NOTABLY, FINDINGS PROVIDE SUPPORT FOR TWO PROMINENT THEORIES OF SOC WITHIN THIS CONTEXT, AND HIGHLIGHT THE IMPORTANCE OF EMOTIONAL SAFETY, SHARED HISTORY, LEADERS AS ROLE MODELS, GRATITUDE, AND FUN. THE USE OF THE VIGNETTE TO PRESENT FINDINGS PROVIDES RESULTS IN A FORMAT THAT IS BOTH ACCESSIBLE TO PRACTITIONERS AND MAINTAINS THE VOICE OF THE YOUTH PARTICIPANTS. THE NATIONAL RECREATION AND PARK ASSOCIATION RECENTLY IDENTIFIED SERVICES FOR IMMIGRANTS AND REFUGEES AS KEY FOCUS AREAS (NRPA, 2018). FINDINGS FROM THIS STUDY LED TO PRACTICAL IMPLICATIONS THAT ADDRESS THIS FOCUS AREA. BROADLY, SPORT PROGRAMS MAY PROVIDE A VALUABLE VENUE FOR THE DEVELOPMENT OF PROTECTIVE FACTORS SUCH AS A SOC FOR YOUTH REFUGEES. FURTHER, TEAMS THAT ARE SPECIFICALLY FOR REFUGEES HELP FACILITATE THE EMOTIONAL SAFETY AND SHARED HISTORY NECESSARY FOR THE DEVELOPMENT OF A SOC. FINDINGS ALSO SUGGEST THAT REFUGEES FACE NUMEROUS ADDITIONAL BARRIERS THAT MAY REQUIRE ADDITIONAL FINANCIAL AND PRACTICAL SUPPORT, INCLUDING TRANSPORTATION OR ASSISTANCE WITH FINDING PART-TIME EMPLOYMENT. AS SUCH, MANAGERS MAY WISH TO CONSIDER BUILDING PROGRAMS THAT FOLLOW A SPORT PLUS MODEL THAT ASSISTS PARTICIPANTS IN OTHER AREAS OF LIFE. FINALLY, FINDINGS POINT TO ANCILLARY SOCIAL SPACES THAT PROVIDE EMOTIONAL SAFETY AS KEY PARTS OF THE EXPERIENCE. THIS ALSO SUGGESTS THE NEED TO DEVELOP PROGRAMS THAT LEVERAGE THE COMMON INTERESTS OF SPORT INTO OTHER SOCIAL AREAS THAT PROVIDE ADDITIONAL BENEFITS."
"SHAFI FAA, 2020, META GENE";"BACKGROUND: THE ROLE OF EXERCISE IN OXIDATIVE STRESS AND GENOMIC DAMAGE WAS EVALUATED AS THE MAIN TARGET POPULATION OF ASS AND PROTEIN SUPPLEMENT IN USUALLY PHYSICAL ACTIVE INDIVIDUALS. THEREFORE, THE PURPOSES OF THIS STUDY WERE TO DETERMINE THE EFFECTS OF EXERCISE AND ABUSE OF SYNTHETIC ANABOLIC STEROIDS AND FOOD SUPPLEMENTS ON MICRONUCLEI FREQUENCY IN BUCCAL CELLS AND 8-HYDROXY-2-DEOXYGUANOSINE (8-OHDG) AS MARKERS FOR DNA DAMAGE. METHODS: THE STUDY INCLUDED ONE HUNDRED MALES AGED 17-44 YEARS, DISTRIBUTED INTO FIVE DISTINCT GROUPS INCLUDING GROUP I: 20 BODYBUILDER INDIVIDUALS WITH AAS CONSUMPTION, GROUP II: 20 BODYBUILDER INDIVIDUALS WITH DIET SUPPLEMENT (PROTEINS) CONSUMPTION. GROUP III: 20 BODYBUILDERS WITHOUT AAS AND DIET SUPPLEMENT (PROTEINS) CONSUMPTION, GROUP IV: 20 FOOTBALL PLAYERS WITHOUT AAS AND PROTEINS CONSUMPTION, AND GROUP V 20 NON-ATHLETES WITHOUT DIET SUPPLEMENT OR AAS CONSUMPTION. RESULTS: THE MEAN AGE + STANDARD DEVIATION (SD) OF GROUPS I, II, III, IV AND V WERE (27.00 +/- 5.53, 27.85 +/- 5.60, 29.70 +/- 8.04, 22.35 +/ - 3.89 AND 26.05 +/- 6.42, RESPECTIVELY. THE MEAN OF BMI VALUES WAS SIGNIFICANTLY DIFFERENT AMONG GROUPS (P < .0001), BEING MUCH HIGHER FOR THE GROUP I (26.77 +/- 1.64) THAN FOR GROUP V (22.78 +/- 1.53***). NOTABLY, GROUP I AND II EXHIBITED ELEVATION IN 8-OHDG CONCENTRATION (3.19 +/- 0.35 AND 3.28 +/- 1.66, RESPECTIVELY) COMPARED TO THOSE FROM THE OTHER GROUPS, NOT BEING STATISTICALLY SIGNIFICANT. IN ADDITION NO STATICALLY DIFFERENCE WAS OBSERVED ACCORDING TO FREQUENCY OF MICRONUCLEI IN BUCCAL CELLS. CONCLUSION: OUR RESULTS OUTLINED THAT EXCEEDED USAGE OF AAS OR FOOD SUPPLEMENT (PROTEINS) EXERTED NO INCREASING EFFECTS OF OXIDATIVE DNA AND/OR CHROMOSOMAL ABERRATION ACCOUNTING FOR SERUM 8-OHDG AND MICRONUCLEI IN BUCCAL CELLS. THESE ARE POSSIBLY DUE TO THE ADAPTIVE RESPONSES SUCH AS UP REGULATION OF DNA REPAIR SYSTEMS AND ENHANCEMENT OF THE ANTI-OXIDANT CAPACITY IN HIGHLY-TRAINED INDIVIDUALS."
"VALENTI M, 2020, EUR SPORT MANAG Q";"RESEARCH QUESTION:WHILE NATIONAL SPORTING GOVERNING BODIES ARE ENCOURAGED TO IMPLEMENT PROGRAMMES WHICH SEEK TO ENHANCE THEIR INTERNATIONAL SPORTING SUCCESS, COMPARATIVE STUDIES ON ELITE SPORT POLICIES HAVE PROVIDED LIMITED EMPIRICAL EVIDENCE IN SUPPORT OF THE RELATIONSHIP BETWEEN SUCH PROGRAMMES AND THE ACHIEVEMENT OF SPORTING OUTCOMES. FOLLOWING THE SPLISS FRAMEWORK, THIS STUDY EXAMINES THE LONGITUDINAL IMPACT OF FOUR PROGRAMME-LEVEL FACTORS - FINANCIAL SUPPORT, HUMAN RESOURCES, COACHING PROVISION AND FOUNDATION PHASE ACTIVITY - ON THE INTERNATIONAL SUCCESS OF WOMEN'S NATIONAL FOOTBALL TEAMS. RESEARCH METHODS:DATA FROM 55 UNION OF EUROPEAN FOOTBALL ASSOCIATIONS' (UEFA) MEMBERS WERE COLLECTED OVER A SEVEN-YEAR-PERIOD (2011-2017). THE ASSOCIATIONS BETWEEN PROGRAMME-LEVEL FACTORS AND FIFA RANKING POINTS ARE VERIFIED THROUGH PANEL REGRESSION ANALYSES. CONTROLS FOR ECONOMIC, TALENT POOL, POLITICAL, SOCIO-CULTURAL, CLIMATE AND MEN'S FOOTBALL LEGACY VARIABLES ARE INCLUDED. RESULTS AND FINDINGS:THE RESULTS REVEAL THAT HIGHLY SPECIALISED COACHING PROVISION HAS A SIGNIFICANT AND POSITIVE IMPACT ON INTERNATIONAL SUCCESS IN WOMEN'S FOOTBALL, WHILE OUR PROXIES FOR FINANCIAL SUPPORT, HUMAN RESOURCES AND FOUNDATION PHASE ACTIVITY HAVE NO NOTABLE EXPLANATORY POWER FOR THE SUCCESS OF WOMEN'S NATIONAL TEAMS. A COUNTRY'S ECONOMIC DEVELOPMENT, TALENT POOL, CLIMATE AND MEN'S FOOTBALL LEGACY ARE SIGNIFICANT PREDICTORS OF ITS WOMEN'S FOOTBALL PERFORMANCE LEVEL. IMPLICATIONS:THIS PAPER OFFERS PRACTICAL INSIGHTS INTO THE ORGANISATION AND MANAGEMENT OF WOMEN'S FOOTBALL IN UEFA NATIONS AND CONTRIBUTES TO THE THEORETICAL DEBATE ON COMPARATIVE ANALYSIS OF THE SPORTING PERFORMANCE OF COUNTRIES. THIS ARTICLE CONFIRMS THAT AN EXCLUSIVELY QUANTITATIVE APPROACH DOES NOT PERMIT DEFINITIVE CONCLUSIONS TO BE DRAWN ON THE COMPLEX RELATIONSHIP BETWEEN ELITE SPORT POLICIES AND INTERNATIONAL SPORTING OUTCOMES."
"BRAKE J, 2020, MANAG SPORT LEIS";"RATIONALE: POSITIVE CONTACT BETWEEN DIVIDED GROUPS EXPERIENCING CONFLICT MAY NOT ONLY CHANGE INTERGROUP ATTITUDES, BUT MAY ALSO PROMOTE POSITIVE RELATIONSHIP DEVELOPMENT AND OTHER COMMUNITY DEVELOPMENT OUTCOMES.PURPOSE: THE STUDY DRAWS ON SDP LITERATURE AND CONTACT THEORY TO INVESTIGATE FACTORS THAT FACILITATE POSITIVE INTERGROUP CONTACT WITHIN AN INNER-CITY YOUTH SDP SOCCER PROGRAM DEVELOPED WITHIN THE PUBLIC SECTOR. A SECONDARY PURPOSE IS TO EXAMINE THE IMPACT THAT CONTACT HAS ON PROGRAM STAKEHOLDERS INCLUDING YOUTH AND AUTHORITY FIGURES WITHIN A COMMUNITY PLAGUED WITH ISSUES OF YOUTH DEVIANCE.METHOD: SEMI-STRUCTURED INTERVIEWS WERE CONDUCTED WITH THIRTEEN PROGRAM STAKEHOLDERS IN ONE MUNICIPALITY IN ONTARIO, CANADA.FINDINGS: RELEVANT PROGRAMING, UNDERSTANDING OTHERS' PERSPECTIVES, HAVING CHAMPIONS OF YOUTH DEVELOPMENT, AND HUMAN, FINANCIAL, AND PARTNERSHIP RESOURCES ALL PLAY A CRITICAL ROLE IN FACILITATING CONTACT WITHIN AN INNER-CITY YOUTH SDP PROGRAM. INTERGROUP CONTACT ALSO HAD MANY POSITIVE IMPACTS ON PROGRAM STAKEHOLDERS AS TRUSTING RELATIONSHIPS WERE DEVELOPED, YOUTH BEHAVIOR CHANGED, AND COMMUNITY PRIDE WAS ESTABLISHED.PRACTICAL IMPLICATIONS: MANAGERS AND POLICY MAKERS CAN CONSIDER THESE FACTORS WHEN FACILITATING CONTACT BETWEEN DIVERSE GROUPS.RESEARCH CONTRIBUTION: THE STUDY OFFERS NEW INSIGHT INTO THE ROLE OF PUBLIC SECTOR ACTORS IN SDP PRACTICE."
"XUE H, 2020, SPORT SOC";"RECENTLY, PRIVATE AND STATE ACTORS WITHIN THE CHINESE ECONOMY HAVE INCREASINGLY TAKEN OWNERSHIP OF (OR ESTABLISHED OTHER FINANCIAL RELATIONSHIPS WITH) MAJOR FOOTBALL CLUBS ACROSS ASIA AND EUROPE. IN THIS STUDY, WE PROVIDE AN ABDUCTIVE INTERPRETATION OF A) THE EXTENT TO WHICH CAPITAL INVESTITURES IN THE SPORT ARE LINKED TO STATE MANDATES TO GROW INFLUENCE IN THE GAME IN CHINA AND ABROAD AND B) HOW, BY INVESTING IN THESE CLUBS, BUSINESS ACTORS ARE ABLE TO STRATEGICALLY ENSCONCE THEMSELVES IN POLITICAL CAPITAL-YIELDING SOCIAL NETWORKS. WE USE THE CONCEPT OF GUANXI-OR RELATIONSHIP BUILDING THROUGH GIFTING AND RECIPROCITY-TO THEORIZE THE MACHINATIONS THROUGH WHICH THESE NETWORKS ARE FORMED. WE THEN UTILIZE SOCIAL NETWORK ANALYSIS TO MAP HOW, AMIDST SHIFTING STATE MANDATES, PRIVATE ACTORS HAVE MOBILIZED FOOTBALL-BASED CAPITAL AS A FORM OF GIFTING TO (RE)ASSEMBLE FOOTBALL-BASED NETWORKS THAT STRATEGICALLY POSITION THEIR FIRMS IN CONFIGURATIONS THAT MIGHT MAXIMIZE POLITICAL CAPITAL."
"LUIS FELIPE J, 2020, SUSTAINABILITY";"THE AIM OF THIS PAPER IS TO ANALYSE DIFFERENT INTERACTIONS OF THE VARIABLES (AGE, POSITION, OR QUALITY OF THE TEAM AND THE LEAGUE) AND THE CROWDSOURCING TRANSFERMARKT VALUES OF MALE PLAYERS IN THE TOP EUROPEAN LEAGUES. ALL PLAYERS (N = 2259) IN THE FIVE MOST HIGHLY VALUED EUROPEAN LEAGUES-SPAIN, ENGLAND, ITALY, FRANCE, AND GERMANY-FROM THE 2017/2018 SEASON WERE INCLUDED IN THIS STUDY. DATA WERE RETRIEVED FROM THE OPEN-SOURCE FOOTBALL DATABASE (TRANSFERMARKT). THE PRESENT ECONOMIC VALUE (VPRESENT) AND MAXIMUM ECONOMIC VALUE (VMAX) OF ALL PLAYERS WITH PROFESSIONAL CONTRACTS WERE REGISTERED. REGRESSION ANALYSIS EVIDENCED A SIGNIFICANT INFLUENCE OF THE LEVEL OF THE TEAM, THE BIRTH MONTH, THE LEAGUE, THE PLAYING POSITION AND THE AGE OF THE PLAYER ON MEAN AND MAXIMUM ECONOMIC VALUE (P < 0.05). THIS ANALYSIS CONFIRMS THAT THE PLAYERS PARTICIPATING IN THE UEFA CHAMPIONS LEAGUE, PREMIER LEAGUE TEAMS, PLAYING AS ATTACKING MIDFIELDERS, AND BORN IN THE FIRST QUARTER OF THE YEAR ARE THE MOST ECONOMICALLY VALUED IN TERMS OF BOTH CURRENT VALUE (R2 OF 0.33) AND MAXIMAL VALUE (R2 OF 0.36). THEREFORE, INTERNATIONAL FOOTBALL ENTITIES MUST TAKE INTO ACCOUNT THE FINANCIAL BALANCE BETWEEN COMPETITIONS-AND NOT ONLY AT THE DOMESTIC LEVEL, AS THE ATTRACTIVENESS AND BALANCE OF EUROPEAN COMPETITIONS MAY BE DIRECTLY AFFECTED."
